country_name,country_code,energy_use,gdp,pop
Algeria,DZA,37444.586,1.71E+11,35725377
Armenia,ARM,2996.571,11662017845,2977488
Bangladesh,BGD,27794.069,79554350678,147969967
Botswana,BWA,2151.618,11113020780,1933719
Brazil,BRA,248343.704,1.65E+12,191765567
Brunei Darussalam,BRN,3629.024,14393099069,388017
Colombia,COL,29207.921,2.44E+11,45153037
"Congo, Rep.",COG,1259.697,11859015181,3876475
Cuba,CUB,10510.95,60806200000,11296355
France,FRA,264795.937,2.83E+12,64371099
Greece,GRC,30418.592,3.42E+11,11237094
Guatemala,GTM,8156.944,39136286496,13648307
Honduras,HND,4647.532,13884492063,7322368
Iceland,ISL,5354.288,16832079677,317414
Israel,ISR,22883.672,2.02E+11,7308800
Japan,JPN,495352.109,4.85E+12,127704040
Kenya,KEN,17728.316,30465489796,38773277
Nepal,NPL,9598.582,12545438605,26249412
Nicaragua,NIC,3048.363,8254342300,5667983
Senegal,SEN,3076.872,13386346544,12238791
Trinidad and Tobago,TTO,19341.11,28017710148,1316449
United Arab Emirates,ARE,58328.893,3.15E+11,6798635
United States,USA,2277034.423,1.42E+13,304093966
Uruguay,URY,4153.147,30366148248,3348898
Uzbekistan,UZB,50502.34,27934030937,27302800
Zimbabwe,ZWE,9273.701,4415702801,12784041
